episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward,total_reward,average_reward
23,10.019999999999875,-129.615970641,65.2257219746,163.582946061,5.47256369719,1.78301902848,0.0,-28.2046318744,5.88346092582,-20.7505316064,-0.248611814646,-0.239111280806,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,100.135313669,30207.2161274,180.881533697
24,10.019999999999875,-150.0,-114.86932688,58.1268632141,4.22126083914,2.42856179793,0.0,-36.9331000217,26.5741088646,-40.6957062402,0.305151187639,0.611579563513,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,88.7445978596,32366.524779,193.811525623
25,10.019999999999875,-84.7669951436,-112.401484308,216.008939271,5.7074417768,6.09061530371,0.0,-33.4771456565,-52.7468196621,-0.705984963638,0.29616095934,-0.383531287305,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,32.2441407855,28724.2780388,172.001664903
26,9.719999999999882,118.525007365,-83.410427755,300.0,0.404261776273,4.07087883687,0.0,56.6405682826,-127.4199976,101.350651474,-0.148888926175,-0.624608731822,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-100.637027824,25748.6471457,158.942266332
27,9.239999999999892,-3.24070843226,-150.0,155.817625165,4.40244258835,0.946214341097,0.0,-11.2555351774,-31.9435197415,-14.299836045,-0.216837821723,0.464448057642,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,105.350569967,29434.3266553,191.131991268
28,8.099999999999916,48.5340421075,87.4335989128,300.0,6.10431212029,5.07611146437,0.0,-75.623206186,-9.12901663222,300.794640693,-0.412978034803,0.185939429449,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-81.5398367429,23870.8497921,176.821109571
29,8.039999999999917,1.4483308915,-150.0,98.7742025277,3.51259633339,1.28756477855,0.0,-18.8736381715,-27.6938536275,-23.1711246837,-0.391951722152,0.553312869537,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,164.300766192,27827.6707897,207.669184997
30,8.8199999999999,-150.0,-50.3922472343,142.862073315,3.08206351771,2.44437749023,0.0,-36.1201507812,1.05867071538,4.64588741823,-0.666746123879,0.279905553855,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,113.973466822,29216.2989331,198.750332878
31,8.8799999999999,-117.919848427,-150.0,82.719881599,4.99358249557,0.171030296388,0.0,-59.1611885309,-45.0362504756,-82.1023412165,0.229355205662,0.291712499413,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,114.228319656,29731.154342,200.886177986
32,8.8199999999999,-150.0,1.60348666909,196.412146199,1.99937114334,1.65354398006,0.0,-30.8424855056,-6.72435761344,3.53792812216,0.576664800091,-0.12286937252,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,52.8427970662,26573.8856856,180.774732555
33,10.019999999999875,-124.399624609,-25.9834297808,153.868048718,1.9813021906,3.75353418757,0.0,-1.87495590415,-39.1863126388,-13.0282896811,0.460697191577,0.369333522521,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,127.125995853,30208.2870377,180.887946334
34,9.839999999999879,1.71179206515,-150.0,187.155012612,5.32847207216,0.675636597316,0.0,-7.88484460405,-51.0877971021,-22.1409246995,0.114032520034,0.471812746071,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,64.8385633765,29280.7755258,178.541314182
35,9.179999999999893,-150.0,-50.0864087552,214.732042539,2.21905555215,2.14687292275,0.0,-27.2004346905,-10.249577819,12.9940651236,0.589155010295,0.0968343227538,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,21.5328969255,27100.9300354,177.130261669
36,9.479999999999887,41.2887925381,-150.0,167.6628918,3.80896958789,0.135900150581,0.0,6.01723287646,-29.6878198465,-18.0330855611,-0.401009625066,0.459402308779,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,86.1210107802,28730.2896833,181.837276477
37,8.459999999999908,-89.5101290806,-150.0,163.816776233,0.0022885071746,1.01414567009,0.0,-37.0340046538,-134.163454173,-10.3585611633,0.262067437422,-0.0332817851274,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,76.9052576543,27484.6830587,194.926830204
38,7.1999999999999345,27.5076506983,-150.0,103.924893825,4.37467326844,4.93557415368,0.0,-10.7707605948,-130.491813264,-47.8877330429,-0.0483820756138,-0.391515184786,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,158.291320611,25483.5765326,212.363137771
39,8.759999999999902,-150.0,5.67261101109,117.891927927,1.43039670543,3.45620178905,0.0,-20.0972978717,-28.074145768,-21.8166861472,0.0788514532159,0.963382133641,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,147.497986546,29203.2963705,200.02257788
40,10.019999999999875,80.9079202803,-62.009016446,278.788402043,0.276487870988,4.54927549881,0.0,31.0069834385,-33.8836647668,30.8925902745,-0.054037709861,-0.66184041556,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-44.7053871197,26850.3712305,160.780666051
41,5.0399999999999805,150.0,150.0,300.0,0.987489445039,4.40226791288,0.0,6861.2371124,17970.6728405,12733.0129632,0.661973945564,-0.276523333847,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-125.868797667,16784.4942426,199.81540765
42,8.039999999999917,150.0,-124.582424914,300.0,5.81947024485,3.99661819944,0.0,1277.93483785,-759.939443707,1469.62324325,0.112128297465,-0.736542920323,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-123.128327708,24942.3295219,186.136787477
43,7.919999999999919,-150.0,-34.1666736545,75.7735922697,4.88818369652,2.70567742783,0.0,-31.7232994965,5.11005650646,-56.9234560836,-0.20768304782,0.385450403273,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,139.164153929,27386.9911281,207.477205516
44,7.499999999999928,-48.2563885024,-150.0,163.888743825,6.04629345457,0.635253830257,0.0,-18.9923438335,-158.534439226,-14.3836134569,-0.0573367145608,0.153414641643,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,89.6203452801,25190.9412497,201.527529997
45,8.8799999999999,84.0341629696,-150.0,239.331112787,5.45497599581,4.56932100713,0.0,58.9486056361,-231.611560515,161.890919268,0.153119719617,-0.269615262401,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-19.295211676,27380.0992225,185.000670422
46,7.799999999999922,-48.434878586,-92.5065413775,300.0,1.39669785262,2.77713257363,0.0,-22.9355589861,-171.740200973,736.176243823,0.171231416631,0.551118097625,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-81.880360042,24546.0533632,188.815795102
47,8.519999999999907,150.0,81.8191358489,230.77580158,1.57355625946,3.76557364709,0.0,242.552244944,169.800025604,45.6680548875,0.614942828479,-0.56140435161,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-7.60776322643,26099.5813326,183.799868539
48,6.899999999999941,-58.6655698446,-150.0,156.064373987,0.0727674423588,0.806146444758,0.0,-32.1685836811,-226.862137016,17.6395274364,0.213783723516,-0.00616494732823,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,96.6463523473,23587.5165691,205.108839731
49,8.639999999999905,-2.24536601642,-150.0,91.2327964091,2.84828194888,0.1059897451,0.0,0.227990939204,-15.4348149746,-37.0461815001,-0.490925793306,0.0812187184042,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,157.768325959,29342.45785,203.767068403
50,7.6199999999999255,18.9012384929,-150.0,177.509225599,6.13330949622,1.12992848471,0.0,-19.4282259241,-172.739435413,-5.12960292161,0.0925953724668,0.34870958538,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,77.8476269569,25453.0527659,200.417738314
51,8.039999999999917,-3.01208434252,96.3031202721,300.0,1.97457536544,0.666843640272,0.0,-19.5458338582,176.447409501,437.061768282,0.523719436743,0.208879921969,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-75.289097936,25246.9042229,188.409733007
52,4.379999999999995,150.0,-102.992310299,300.0,5.97346544681,3.69645452859,0.0,14839.0684809,-3094.42635551,9679.09737246,0.00384612943736,-0.866969960453,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-92.8817647125,14712.634957,201.542944617
53,7.319999999999932,-89.9020762232,40.8175751571,300.0,1.82332762023,1.21680391703,0.0,-40.0185998122,80.0445189263,456.473580283,0.350202815657,0.327438338076,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-68.2239847595,23202.1743849,190.181757253
54,5.339999999999974,64.9646039469,150.0,300.0,0.865101993084,4.54495433082,0.0,476.432579726,2199.92616253,1936.44166238,0.00594177221563,-0.234901905889,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-69.3142671828,18153.0582492,203.966946621
55,8.999999999999897,94.6549318613,116.728091353,300.0,2.03990620535,3.94644996978,0.0,47.2426846457,172.07894774,310.013710087,0.0226540681396,-0.809616454985,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-102.419452444,26021.301023,173.475340153
56,8.339999999999911,6.26272846251,-150.0,267.95078241,0.499361347802,5.49973242512,0.0,18.1306502431,-350.315540188,193.988210931,0.355718421198,0.0365043251829,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-46.1254831242,25805.2947838,185.649602761
57,7.139999999999936,-64.1155631753,34.0407878529,300.0,0.229554720541,5.1273732173,0.0,-346.063065838,149.439626146,788.331387922,0.326469254004,-0.246880614451,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-69.7320943844,23170.9597313,194.713947322
58,5.51999999999997,88.5183577085,150.0,300.0,0.6109456486,4.56778540751,0.0,3992.90097585,17443.0253957,25179.8786067,0.169379470499,-0.472913075725,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-111.031553826,18619.6575187,202.387581724
59,5.339999999999974,84.8207657077,91.4393896698,300.0,0.471232856521,4.30800848979,0.0,916.01112478,1012.48281055,2147.34291393,0.371316536196,-0.584386961305,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-65.1004081523,18290.7073632,205.513565879
60,7.559999999999927,136.658484858,77.4432627857,300.0,0.878277531618,4.19114960262,0.0,415.191274059,502.756448895,517.363953135,-0.0334062409733,-0.270807511056,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-103.547361569,23175.6857266,183.934013703
61,10.019999999999875,20.7613461672,-31.3873034494,272.363867048,6.12514214042,1.24619331938,0.0,-22.5527700142,-11.1028107248,19.33857983,0.208053824955,0.46228336013,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-13.2281798259,27255.9834398,163.209481676
62,4.679999999999988,150.0,-149.42490397,300.0,6.08034209237,4.10104093788,0.0,12709.7007174,-3992.77361418,18469.3480137,0.247501890809,-0.539168500529,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-121.870463477,15658.1402642,200.745388003
